|6.6.6
PYR_1.tab                                                                                           
           2
T(K)    
   773.00000000000000     
   27.559055118110237     
         128
P(bar)  
   1.0000000000000000     
   10708.653543307086     
         128
          14
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  773.000        1.00000        3171.18       0.346292E-004  0.110725E-005  0.101077E+007   616546.        5.64567        7.60240        4.40933        1655.68      -0.129865E+008   1160.17        3.15343     
  800.559        1.00000        3168.11       0.365057E-004  0.114864E-005   994825.        613375.        5.60368        7.56411        4.40010        1696.47      -0.129544E+008   1167.33        3.15648     
  828.118        1.00000        3164.80       0.411545E-004  0.125437E-005   964032.        610176.        5.51916        7.49452        4.39091        1736.16      -0.129221E+008   1177.41        3.15979     
  855.677        1.00000        3160.83       0.291601E-004  0.971392E-006  0.107583E+007   606920.        5.83406        7.72256        4.38192        1774.98      -0.128894E+008   1168.23        3.16375     
  883.236        1.00000        3158.33       0.294163E-004  0.975446E-006  0.107211E+007   603766.        5.82627        7.70936        4.37226        1812.11      -0.128571E+008   1172.49        3.16626     
  910.795        1.00000        3155.81       0.296705E-004  0.979568E-006  0.106836E+007   600602.        5.81840        7.69606        4.36253        1848.23      -0.128247E+008   1176.51        3.16879     
  938.354        1.00000        3172.70       0.312121E-004  0.987520E-006  0.105868E+007   605022.        5.77653        7.66775        4.36688        1883.53      -0.127921E+008   1180.96        3.15192     
  965.913        1.00000        3182.34       0.323320E-004  0.995549E-006  0.105010E+007   606678.        5.74436        7.64305        4.36622        1917.99      -0.127593E+008   1185.06        3.14237     
  993.472        1.00000        3179.62       0.326349E-004  0.100131E-005  0.104523E+007   603431.        5.73347        7.62737        4.35638        1951.49      -0.127264E+008   1188.59        3.14506     
  1021.03        1.00000        3176.89       0.329402E-004  0.100719E-005  0.104031E+007   600179.        5.72244        7.61155        4.34650        1984.19      -0.126935E+008   1192.00        3.14777     
  1048.59        1.00000        3174.14       0.332484E-004  0.101320E-005  0.103536E+007   596922.        5.71126        7.59558        4.33656        2016.12      -0.126605E+008   1195.29        3.15049     
  1076.15        1.00000        3171.38       0.335601E-004  0.101935E-005  0.103036E+007   593659.        5.69993        7.57946        4.32658        2047.32      -0.126273E+008   1198.49        3.15324     
  1103.71        1.00000        3168.60       0.338761E-004  0.102563E-005  0.102531E+007   590393.        5.68845        7.56320        4.31655        2077.82      -0.125941E+008   1201.60        3.15600     
  1131.27        1.00000        3165.81       0.341968E-004  0.103206E-005  0.102022E+007   587123.        5.67682        7.54678        4.30648        2107.67      -0.125607E+008   1204.63        3.15878     
  1158.83        1.00000        3163.01       0.345229E-004  0.103865E-005  0.101508E+007   583849.        5.66501        7.53020        4.29636        2136.88      -0.125273E+008   1207.61        3.16158     
  1186.39        1.00000        3160.19       0.348550E-004  0.104540E-005  0.100990E+007   580574.        5.65304        7.51347        4.28620        2165.49      -0.124937E+008   1210.54        3.16440     
  1213.94        1.00000        3157.37       0.351937E-004  0.105231E-005  0.100466E+007   577297.        5.64089        7.49656        4.27599        2193.52      -0.124601E+008   1213.43        3.16723     
  1241.50        1.00000        3154.53       0.355397E-004  0.105940E-005   999377.        574019.        5.62856        7.47949        4.26575        2221.01      -0.124263E+008   1216.28        3.17007     
  1269.06        1.00000        3151.69       0.358935E-004  0.106667E-005   994038.        570741.        5.61604        7.46225        4.25547        2247.97      -0.123925E+008   1219.11        3.17293     
  1296.62        1.00000        3148.84       0.362559E-004  0.107414E-005   988643.        567464.        5.60331        7.44484        4.24516        2274.44      -0.123586E+008   1221.93        3.17581     
  1324.18        1.00000        3145.98       0.366276E-004  0.108182E-005   983191.        564189.        5.59038        7.42724        4.23482        2300.42      -0.123245E+008   1224.74        3.17869     
  1351.74        1.00000        3143.11       0.370094E-004  0.108971E-005   977680.        560918.        5.57723        7.40946        4.22444        2325.95      -0.122904E+008   1227.55        3.18159     
  1379.30        1.00000        3140.25       0.374022E-004  0.109783E-005   972108.        557651.        5.56385        7.39148        4.21405        2351.04      -0.122561E+008   1230.37        3.18450     
  1406.86        1.00000        3137.38       0.378066E-004  0.110620E-005   966472.        554391.        5.55024        7.37332        4.20363        2375.71      -0.122217E+008   1233.20        3.18741     
  1434.42        1.00000        3134.51       0.382239E-004  0.111482E-005   960771.        551139.        5.53637        7.35496        4.19320        2399.97      -0.121873E+008   1236.05        3.19033     
  1461.98        1.00000        3131.64       0.386550E-004  0.112371E-005   955000.        547897.        5.52225        7.33639        4.18277        2423.85      -0.121527E+008   1238.92        3.19325     
  1489.54        1.00000        3128.77       0.391008E-004  0.113290E-005   949158.        544667.        5.50785        7.31761        4.17233        2447.36      -0.121180E+008   1241.83        3.19617     
  1517.09        1.00000        3125.92       0.395628E-004  0.114240E-005   943239.        541450.        5.49316        7.29862        4.16189        2470.51      -0.120832E+008   1244.79        3.19909     
  1544.65        1.00000        3123.07       0.400423E-004  0.115223E-005   937241.        538252.        5.47816        7.27941        4.15147        2493.33      -0.120483E+008   1247.79        3.20201     
  1572.21        1.00000        3120.24       0.405409E-004  0.116242E-005   931162.        535073.        5.46284        7.25998        4.14107        2515.81      -0.120132E+008   1250.85        3.20492     
  1599.77        1.00000        3117.41       0.410594E-004  0.117299E-005   924992.        531911.        5.44718        7.24030        4.13069        2537.98      -0.119781E+008   1253.97        3.20782     
  1627.33        1.00000        3114.62       0.416017E-004  0.118399E-005   918732.        528789.        5.43115        7.22040        4.12039        2559.85      -0.119428E+008   1257.17        3.21069     
  1654.89        1.00000        3111.85       0.421679E-004  0.119544E-005   912371.        525690.        5.41473        7.20025        4.11013        2581.44      -0.119073E+008   1260.45        3.21356     
  1682.45        1.00000        3109.10       0.427613E-004  0.120738E-005   905906.        522629.        5.39789        7.17984        4.09996        2602.74      -0.118718E+008   1263.82        3.21639     
  1710.01        1.00000        3106.40       0.433844E-004  0.121986E-005   899331.        519610.        5.38061        7.15917        4.08988        2623.78      -0.118361E+008   1267.30        3.21919     
  1737.57        1.00000        3103.74       0.440402E-004  0.123293E-005   892638.        516639.        5.36285        7.13823        4.07992        2644.56      -0.118003E+008   1270.89        3.22196     
  1765.13        1.00000        3101.12       0.447321E-004  0.124664E-005   885821.        513722.        5.34458        7.11703        4.07010        2665.11      -0.117643E+008   1274.62        3.22467     
  1792.69        1.00000        3098.57       0.454641E-004  0.126106E-005   878877.        510869.        5.32578        7.09556        4.06045        2685.42      -0.117282E+008   1278.49        3.22733     
  1820.24        1.00000        3096.08       0.462404E-004  0.127627E-005   871793.        508085.        5.30641        7.07380        4.05100        2705.52      -0.116919E+008   1282.53        3.22992     
  1847.80        1.00000        3093.67       0.470660E-004  0.129235E-005   864566.        505379.        5.28642        7.05177        4.04177        2725.42      -0.116554E+008   1286.75        3.23243     
  1875.36        1.00000        3091.35       0.479466E-004  0.130939E-005   857188.        502759.        5.26580        7.02945        4.03279        2745.13      -0.116187E+008   1291.18        3.23487     
  1902.92        1.00000        3089.08       0.488883E-004  0.132757E-005   849613.        500207.        5.24440        7.00671        4.02402        2764.65      -0.115818E+008   1295.84        3.23724     
  1930.48        1.00000        3086.89       0.498993E-004  0.134704E-005   841831.        497735.        5.22218        6.98355        4.01549        2784.00      -0.115447E+008   1300.77        3.23954     
  1958.04        1.00000        3084.74       0.509891E-004  0.136805E-005   833780.        495318.        5.19896        6.95978        4.00713        2803.19      -0.115074E+008   1305.99        3.24180     
  1985.60        1.00000        3082.59       0.521688E-004  0.139089E-005   825405.        492934.        5.17459        6.93524        3.99886        2822.22      -0.114699E+008   1311.56        3.24406     
  2013.16        1.00000        3080.37       0.534556E-004  0.141607E-005   816565.        490531.        5.14866        6.90951        3.99054        2841.10      -0.114321E+008   1317.53        3.24640     
  2040.72        1.00000        3078.00       0.548700E-004  0.144415E-005   807141.        488058.        5.12083        6.88221        3.98201        2859.82      -0.113942E+008   1323.98        3.24890     
  2068.28        1.00000        3075.36       0.564440E-004  0.147603E-005   796912.        485436.        5.09046        6.85267        3.97300        2878.39      -0.113560E+008   1331.01        3.25168     
  2095.83        1.00000        3072.30       0.582256E-004  0.151304E-005   785564.        482562.        5.05660        6.81995        3.96319        2896.81      -0.113177E+008   1338.80        3.25492     
  2123.39        1.00000        3068.67       0.602884E-004  0.155707E-005   772713.        479337.        5.01804        6.78291        3.95226        2915.09      -0.112791E+008   1347.60        3.25877     
  2150.95        1.00000        3064.34       0.627461E-004  0.161078E-005   757908.        475698.        4.97324        6.74028        3.94001        2933.28      -0.112402E+008   1357.79        3.26337     
  2178.51        1.00000        3059.02       0.657986E-004  0.167908E-005   740253.        471458.        4.91925        6.68942        3.92582        2951.42      -0.112010E+008   1370.07        3.26905     
  2206.07        1.00000        3052.38       0.697912E-004  0.177000E-005   718568.        466438.        4.85193        6.62692        3.90911        2969.60      -0.111611E+008   1385.64        3.27616     
  2233.63        1.00000        3043.78       0.754425E-004  0.190012E-005   690583.        460281.        4.76323        6.54607        3.88870        2988.01      -0.111202E+008   1407.04        3.28542     
  2261.19        1.00000        3031.97       0.844610E-004  0.210783E-005   652053.        452319.        4.63745        6.43405        3.86242        3006.99      -0.110776E+008   1440.43        3.29822     
  2288.75        1.00000        3024.78       0.964393E-004  0.236249E-005   623589.        448029.        4.54048        6.35336        3.84863        3025.33      -0.110359E+008   1486.71        3.30606     
  2316.31        1.00000        3015.49       0.247662E-003  0.508815E-005   556014.        443562.        4.29402        6.16856        3.83529        3044.67      -0.109913E+008   2118.35        3.31624     
  2343.87        1.00000        3068.19       0.539681E-004  0.132378E-005   866303.        470733.        5.31366        6.97793        3.91693        3049.34      -0.109780E+008   1353.88        3.25928     
  2371.43        1.00000        3064.57       0.547378E-004  0.133766E-005   860597.        467208.        5.29926        6.95769        3.90454        3065.34      -0.109403E+008   1359.30        3.26313     
  2398.98        1.00000        3060.78       0.555404E-004  0.135227E-005   854705.        463580.        5.28435        6.93677        3.89176        3081.20      -0.109025E+008   1364.95        3.26717     
  2426.54        1.00000        3056.88       0.563822E-004  0.136763E-005   848655.        459887.        5.26897        6.91528        3.87870        3096.93      -0.108645E+008   1370.87        3.27134     
  2454.10        1.00000        3052.84       0.572693E-004  0.138389E-005   842401.        456109.        5.25300        6.89308        3.86529        3112.55      -0.108264E+008   1377.09        3.27567     
  2481.66        1.00000        3048.68       0.582065E-004  0.140111E-005   835949.        452256.        5.23642        6.87018        3.85156        3128.05      -0.107881E+008   1383.64        3.28014     
  2509.22        1.00000        3044.39       0.592024E-004  0.141941E-005   829276.        448329.        5.21915        6.84651        3.83750        3143.44      -0.107497E+008   1390.58        3.28476     
  2536.78        1.00000        3039.98       0.602682E-004  0.143897E-005   822356.        444333.        5.20109        6.82201        3.82313        3158.74      -0.107111E+008   1397.97        3.28953     
  2564.34        1.00000        3035.46       0.614166E-004  0.145999E-005   815156.        440267.        5.18213        6.79657        3.80843        3173.95      -0.106723E+008   1405.90        3.29443     
  2591.90        1.00000        3030.81       0.626655E-004  0.148275E-005   807623.        436127.        5.16208        6.77004        3.79339        3189.08      -0.106333E+008   1414.47        3.29948     
  2619.46        1.00000        3026.03       0.640396E-004  0.150767E-005   799682.        431907.        5.14070        6.74222        3.77797        3204.14      -0.105941E+008   1423.83        3.30469     
  2647.02        1.00000        3021.12       0.655751E-004  0.153530E-005   791233.        427602.        5.11762        6.71280        3.76215        3219.15      -0.105546E+008   1434.20        3.31006     
  2674.57        1.00000        3016.05       0.673270E-004  0.156655E-005   782111.        423200.        5.09231        6.68134        3.74587        3234.11      -0.105148E+008   1445.93        3.31562     
  2702.13        1.00000        3010.82       0.693869E-004  0.160287E-005   772056.        418685.        5.06386        6.64711        3.72907        3249.04      -0.104746E+008   1459.56        3.32139     
  2729.69        1.00000        3005.39       0.719237E-004  0.164694E-005   760598.        414032.        5.03068        6.60879        3.71164        3263.97      -0.104341E+008   1476.13        3.32739     
  2757.25        1.00000        2999.71       0.752900E-004  0.170436E-005   746808.        409193.        4.98959        6.56385        3.69338        3278.94      -0.103930E+008   1497.77        3.33369     
  2784.81        1.00000        2993.68       0.804267E-004  0.178988E-005   728421.        404074.        4.93274        6.50605        3.67390        3294.02      -0.103512E+008   1530.23        3.34040     
  2812.37        1.00000        2987.03       0.913724E-004  0.196598E-005   697380.        398415.        4.83186        6.41335        3.65214        3309.40      -0.103082E+008   1598.47        3.34784     
  2839.93        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2867.49        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2895.05        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2922.61        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2950.17        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2977.72        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3005.28        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3032.84        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3060.40        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3087.96        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3115.52        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3143.08        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3170.64        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3198.20        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3225.76        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3253.31        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3280.87        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3308.43        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3335.99        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3363.55        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3391.11        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3418.67        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3446.23        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3473.79        1.00000        3051.13       0.998065E-004  0.195923E-005   774460.        442564.        5.03812        6.68750        3.80853        3568.06      -0.919266E+007   1811.06        3.27750     
  3501.35        1.00000        3042.55       0.105712E-003  0.204728E-005   760928.        435900.        5.00096        6.64169        3.78508        3582.61      -0.914192E+007   1864.54        3.28675     
  3528.91        1.00000        3033.43       0.113149E-003  0.215664E-005   746320.        428957.        4.96016        6.59225        3.76045        3597.52      -0.908953E+007   1931.99        3.29663     
  3556.46        1.00000        3023.64       0.122986E-003  0.229925E-005   730265.        421651.        4.91446        6.53800        3.73432        3612.91      -0.903500E+007   2021.30        3.30731     
  3584.02        1.00000        3012.91       0.136991E-003  0.249938E-005   712153.        413850.        4.86176        6.47698        3.70620        3629.00      -0.897753E+007   2148.58        3.31909     
  3611.58        1.00000        3000.75       0.159606E-003  0.281794E-005   690758.        405302.        4.79787        6.40535        3.67515        3646.21      -0.891563E+007   2354.30        3.33254     
  3639.14        1.00000        2985.95       0.207398E-003  0.348126E-005   663039.        395393.        4.71225        6.31356        3.63893        3665.53      -0.884558E+007   2789.42        3.34905     
  3666.70        1.00000        2961.23       0.624590E-003  0.911231E-005   616488.        380464.        4.56275        6.16032        3.58444        14669.2       0.315014E+008   6634.10        3.37701     
  3694.26        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3721.82        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3749.38        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3776.94        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3804.50        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3832.06        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3859.61        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3887.17        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3914.73        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3942.29        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3969.85        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3997.41        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4024.97        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4052.53        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4080.09        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4107.65        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4135.20        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4162.76        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4190.32        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4217.88        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4245.44        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4273.00        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  773.000        10709.7        3332.00       0.300333E-004  0.847007E-006  0.121717E+007   725486.        6.04398        8.09695        4.66618        1638.63      -0.126711E+008   1151.81        3.00123     
  800.559        10709.7        3328.13       0.303089E-004  0.853948E-006  0.120915E+007   720715.        6.02754        8.07496        4.65352        1680.55      -0.126381E+008   1157.14        3.00472     
  828.118        10709.7        3325.29       0.306129E-004  0.858984E-006  0.120338E+007   717059.        6.01571        8.05857        4.64369        1720.18      -0.126058E+008   1162.09        3.00729     
  855.677        10709.7        3322.42       0.309140E-004  0.864125E-006  0.119755E+007   713386.        6.00372        8.04201        4.63378        1758.70      -0.125734E+008   1166.74        3.00989     
  883.236        10709.7        3319.52       0.312133E-004  0.869376E-006  0.119167E+007   709695.        5.99157        8.02526        4.62379        1796.15      -0.125408E+008   1171.11        3.01252     
  910.795        10709.7        3316.59       0.315117E-004  0.874739E-006  0.118573E+007   705986.        5.97925        8.00833        4.61373        1832.62      -0.125081E+008   1175.24        3.01518     
  938.354        10709.7        3313.63       0.318100E-004  0.880216E-006  0.117973E+007   702258.        5.96676        7.99122        4.60359        1868.14      -0.124753E+008   1179.16        3.01787     
  965.913        10709.7        3310.64       0.321088E-004  0.885811E-006  0.117367E+007   698511.        5.95411        7.97392        4.59336        1902.78      -0.124423E+008   1182.89        3.02059     
  993.472        10709.7        3307.62       0.324087E-004  0.891527E-006  0.116755E+007   694744.        5.94129        7.95643        4.58305        1936.57      -0.124092E+008   1186.47        3.02335     
  1021.03        10709.7        3304.57       0.327104E-004  0.897365E-006  0.116138E+007   690956.        5.92830        7.93874        4.57265        1969.57      -0.123760E+008   1189.91        3.02615     
  1048.59        10709.7        3301.48       0.330143E-004  0.903330E-006  0.115516E+007   687147.        5.91516        7.92087        4.56216        2001.82      -0.123426E+008   1193.22        3.02898     
  1076.15        10709.7        3298.36       0.333208E-004  0.909424E-006  0.114887E+007   683314.        5.90184        7.90279        4.55157        2033.34      -0.123091E+008   1196.43        3.03184     
  1103.71        10709.7        3295.20       0.336305E-004  0.915651E-006  0.114254E+007   679457.        5.88836        7.88451        4.54088        2064.19      -0.122755E+008   1199.55        3.03475     
  1131.27        10709.7        3292.01       0.339435E-004  0.922012E-006  0.113614E+007   675574.        5.87471        7.86603        4.53008        2094.40      -0.122417E+008   1202.58        3.03769     
  1158.83        10709.7        3288.78       0.342605E-004  0.928511E-006  0.112970E+007   671665.        5.86090        7.84734        4.51917        2123.99      -0.122079E+008   1205.55        3.04067     
  1186.39        10709.7        3285.51       0.345815E-004  0.935149E-006  0.112320E+007   667725.        5.84693        7.82843        4.50814        2153.00      -0.121738E+008   1208.46        3.04370     
  1213.94        10709.7        3282.20       0.349070E-004  0.941927E-006  0.111666E+007   663757.        5.83281        7.80932        4.49699        2181.44      -0.121397E+008   1211.31        3.04676     
  1241.50        10709.7        3278.85       0.352372E-004  0.948844E-006  0.111007E+007   659759.        5.81855        7.79002        4.48571        2209.36      -0.121054E+008   1214.13        3.04988     
  1269.06        10709.7        3275.47       0.355723E-004  0.955899E-006  0.110345E+007   655731.        5.80416        7.77052        4.47431        2236.77      -0.120710E+008   1216.91        3.05303     
  1296.62        10709.7        3272.04       0.359124E-004  0.963087E-006  0.109680E+007   651676.        5.78969        7.75086        4.46279        2263.68      -0.120365E+008   1219.67        3.05623     
  1324.18        10709.7        3268.57       0.362578E-004  0.970402E-006  0.109014E+007   647598.        5.77514        7.73107        4.45117        2290.11      -0.120019E+008   1222.41        3.05947     
  1351.74        10709.7        3265.06       0.366084E-004  0.977840E-006  0.108348E+007   643499.        5.76056        7.71117        4.43944        2316.09      -0.119671E+008   1225.13        3.06276     
  1379.30        10709.7        3261.52       0.369645E-004  0.985391E-006  0.107684E+007   639387.        5.74598        7.69122        4.42763        2341.61      -0.119323E+008   1227.85        3.06608     
  1406.86        10709.7        3257.95       0.373261E-004  0.993045E-006  0.107022E+007   635265.        5.73145        7.67125        4.41576        2366.69      -0.118973E+008   1230.56        3.06944     
  1434.42        10709.7        3254.35       0.376931E-004  0.100080E-005  0.106365E+007   631138.        5.71699        7.65129        4.40382        2391.34      -0.118623E+008   1233.28        3.07284     
  1461.98        10709.7        3250.72       0.380656E-004  0.100864E-005  0.105713E+007   627011.        5.70263        7.63137        4.39185        2415.58      -0.118272E+008   1236.00        3.07627     
  1489.54        10709.7        3247.06       0.384437E-004  0.101657E-005  0.105068E+007   622884.        5.68840        7.61152        4.37984        2439.42      -0.117920E+008   1238.73        3.07974     
  1517.09        10709.7        3243.37       0.388271E-004  0.102459E-005  0.104429E+007   618760.        5.67431        7.59175        4.36780        2462.88      -0.117568E+008   1241.48        3.08324     
  1544.65        10709.7        3239.66       0.392158E-004  0.103267E-005  0.103799E+007   614641.        5.66040        7.57210        4.35573        2485.96      -0.117214E+008   1244.24        3.08677     
  1572.21        10709.7        3235.92       0.396098E-004  0.104082E-005  0.103177E+007   610527.        5.64668        7.55256        4.34364        2508.68      -0.116860E+008   1247.03        3.09034     
  1599.77        10709.7        3232.16       0.400089E-004  0.104903E-005  0.102564E+007   606417.        5.63315        7.53315        4.33151        2531.06      -0.116505E+008   1249.84        3.09394     
  1627.33        10709.7        3228.37       0.404128E-004  0.105730E-005  0.101961E+007   602316.        5.61985        7.51390        4.31938        2553.09      -0.116150E+008   1252.68        3.09757     
  1654.89        10709.7        3224.55       0.408215E-004  0.106562E-005  0.101367E+007   598218.        5.60677        7.49479        4.30720        2574.80      -0.115793E+008   1255.54        3.10124     
  1682.45        10709.7        3220.71       0.412348E-004  0.107399E-005  0.100783E+007   594128.        5.59394        7.47585        4.29501        2596.20      -0.115437E+008   1258.44        3.10494     
  1710.01        10709.7        3216.85       0.416525E-004  0.108241E-005  0.100210E+007   590042.        5.58136        7.45707        4.28279        2617.29      -0.115079E+008   1261.37        3.10867     
  1737.57        10709.7        3212.96       0.420744E-004  0.109086E-005   996473.        585962.        5.56904        7.43847        4.27053        2638.08      -0.114720E+008   1264.34        3.11243     
  1765.13        10709.7        3209.17       0.424885E-004  0.109890E-005   991498.        582071.        5.55840        7.42155        4.25884        2658.39      -0.114365E+008   1267.33        3.11610     
  1792.69        10709.7        3205.35       0.429048E-004  0.110692E-005   986655.        578185.        5.54811        7.40488        4.24713        2678.44      -0.114008E+008   1270.36        3.11981     
  1820.24        10709.7        3201.52       0.433239E-004  0.111491E-005   981949.        574314.        5.53817        7.38849        4.23542        2698.23      -0.113651E+008   1273.42        3.12355     
  1847.80        10709.7        3197.66       0.437448E-004  0.112286E-005   977374.        570447.        5.52859        7.37233        4.22368        2717.76      -0.113292E+008   1276.53        3.12731     
  1875.36        10709.7        3193.79       0.441675E-004  0.113078E-005   972925.        566585.        5.51934        7.35641        4.21192        2737.06      -0.112933E+008   1279.68        3.13111     
  1902.92        10709.7        3189.89       0.445904E-004  0.113863E-005   968625.        562728.        5.51049        7.34076        4.20012        2756.12      -0.112573E+008   1282.87        3.13494     
  1930.48        10709.7        3185.98       0.450133E-004  0.114638E-005   964491.        558887.        5.50209        7.32546        4.18833        2774.94      -0.112212E+008   1286.09        3.13878     
  1958.04        10709.7        3182.05       0.454368E-004  0.115407E-005   960479.        555046.        5.49402        7.31038        4.17649        2793.55      -0.111851E+008   1289.37        3.14266     
  1985.60        10709.7        3178.11       0.458578E-004  0.116164E-005   956635.        551210.        5.48642        7.29562        4.16461        2811.92      -0.111488E+008   1292.67        3.14656     
  2013.16        10709.7        3174.15       0.462777E-004  0.116910E-005   952938.        547381.        5.47922        7.28115        4.15270        2830.09      -0.111125E+008   1296.02        3.15048     
  2040.72        10709.7        3170.18       0.466970E-004  0.117651E-005   949343.        543545.        5.47230        7.26683        4.14072        2848.04      -0.110761E+008   1299.41        3.15443     
  2068.28        10709.7        3166.20       0.471124E-004  0.118373E-005   945932.        539724.        5.46589        7.25290        4.12873        2865.79      -0.110397E+008   1302.84        3.15839     
  2095.83        10709.7        3162.21       0.475265E-004  0.119089E-005   942617.        535897.        5.45975        7.23911        4.11666        2883.33      -0.110031E+008   1306.30        3.16238     
  2123.39        10709.7        3158.20       0.479397E-004  0.119801E-005   939376.        532059.        5.45381        7.22541        4.10450        2900.67      -0.109665E+008   1309.81        3.16639     
  2150.95        10709.7        3154.19       0.483502E-004  0.120498E-005   936269.        528230.        5.44824        7.21198        4.09230        2917.83      -0.109299E+008   1313.36        3.17042     
  2178.51        10709.7        3150.16       0.487629E-004  0.121202E-005   933160.        524384.        5.44266        7.19844        4.07998        2934.78      -0.108932E+008   1316.96        3.17447     
  2206.07        10709.7        3146.13       0.491768E-004  0.121906E-005   930094.        520533.        5.43720        7.18494        4.06758        2951.55      -0.108564E+008   1320.61        3.17854     
