# This ASPECT-compatible file contains material properties evaluated along an isentrope by the BurnMan software.
# POINTS: 501
# depth (m), pressure (Pa), temperature (K), density (kg/m^3), gravity (m/s^2), thermal expansivity (1/K), specific heat (J/K/kg), compressibility (1/Pa), molar volume (m^3/mol), molar entropy (J/K/mol), molar Gibbs (J/mol), Vp (m/s), Vs (m/s), dVp/dT (m/s/K), dVs/dT (m/s/K)
depth	pressure	temperature	density	gravity	thermal_expansivity	specific_heat	compressibility	molar_volume	molar_entropy	molar_gibbs	seismic_vp	seismic_vs	seismic_dvp_dt	seismic_dvs_dt
1.5163165748e+05	4.8960964000e+09	1.6473051353e+03	3.3765224755e+03	9.8668087323e+00	3.1326812952e-05	1.2376770827e+03	7.6409837568e-12	2.9617187663e-05	2.5164733070e+02	-1.4664283321e+06	8.1098924496e+03	4.5013520119e+03	-5.1145149714e-01	-3.6528248001e-01
1.5978569941e+05	5.1680962000e+09	1.6509421460e+03	3.3841120030e+03	9.8695879666e+00	3.0930092114e-05	1.2368538390e+03	7.5609058749e-12	2.9550498078e-05	2.5164733070e+02	-1.4592858262e+06	8.1354874162e+03	4.5089170524e+03	-5.0186626287e-01	-3.6039769714e-01
1.6791928581e+05	5.4400960000e+09	1.6544843553e+03	3.3915898495e+03	9.8723499558e+00	3.0546462320e-05	1.2360527365e+03	7.4836521025e-12	2.9485133818e-05	2.5164733070e+02	-1.4521421336e+06	8.1604546222e+03	4.5162852457e+03	-4.9387760000e-01	-3.5629668572e-01
1.7603304091e+05	5.7120958000e+09	1.6578414479e+03	3.3987920300e+03	9.8750963577e+00	3.0194078754e-05	1.2353140480e+03	7.4106183970e-12	2.9423011863e-05	2.5164733070e+02	-1.4449932685e+06	8.1839510298e+03	4.5231660954e+03	-4.8500792000e-01	-3.5293227428e-01
1.8412740772e+05	5.9840956000e+09	1.6612157417e+03	3.4060050418e+03	9.8778281763e+00	2.9840495268e-05	1.2345683814e+03	7.3389740425e-12	2.9360763075e-05	2.5164733070e+02	-1.4378479543e+06	8.2074695103e+03	4.5300585633e+03	-4.8076829715e-01	-3.5035163429e-01
1.9220238906e+05	6.2560954000e+09	1.6646017272e+03	3.4132298752e+03	9.8805453748e+00	2.9485601779e-05	1.2338150694e+03	7.2686791489e-12	2.9298375649e-05	2.5164733070e+02	-1.4307056980e+06	8.2310110309e+03	4.5369643808e+03	-4.7652867430e-01	-3.4777099429e-01
2.0025815953e+05	6.5280952000e+09	1.6678915434e+03	3.4203761243e+03	9.8832482627e+00	2.9143822525e-05	1.2330884940e+03	7.2001976190e-12	2.9237038356e-05	2.5164733070e+02	-1.4235654434e+06	8.2541546328e+03	4.5437487949e+03	-4.7263739429e-01	-3.4550386285e-01
2.0829508806e+05	6.8000950000e+09	1.6710126295e+03	3.4273841686e+03	9.8859377631e+00	2.8824607635e-05	1.2324125749e+03	7.1337845363e-12	2.9177540713e-05	2.5164733070e+02	-1.4164256960e+06	8.2766242259e+03	4.5503212211e+03	-4.6931942859e-01	-3.4375271429e-01
2.1631344260e+05	7.0720948000e+09	1.6741413226e+03	3.4344023779e+03	9.8886143567e+00	2.8504263122e-05	1.2317314169e+03	7.0685657870e-12	2.9117934491e-05	2.5164733070e+02	-1.4092878591e+06	8.2991109854e+03	4.5569019767e+03	-4.6600146286e-01	-3.4200156571e-01
2.2431324958e+05	7.3440946000e+09	1.6772776504e+03	3.4414307893e+03	9.8912780433e+00	2.8182784852e-05	1.2310450010e+03	7.0045093791e-12	2.9058219293e-05	2.5164733070e+02	-1.4021519397e+06	8.3216149743e+03	4.5634910922e+03	-4.6268349714e-01	-3.4025041715e-01
2.3229463620e+05	7.6160944000e+09	1.6803119205e+03	3.4484063587e+03	9.8939291183e+00	2.7875056580e-05	1.2303912053e+03	6.9417044268e-12	2.8999377831e-05	2.5164733070e+02	-1.3950190097e+06	8.3438503970e+03	4.5700127922e+03	-4.5924361142e-01	-3.3858054857e-01
2.4025785616e+05	7.8880942000e+09	1.6832248116e+03	3.4553091252e+03	9.8965679376e+00	2.7585398611e-05	1.2297814878e+03	6.8801496052e-12	2.8941705641e-05	2.5164733070e+02	-1.3878903461e+06	8.3657376984e+03	4.5764425830e+03	-4.5364037143e-01	-3.3628801714e-01
2.4820307458e+05	8.1600940000e+09	1.6861753297e+03	3.4622157423e+03	9.8991948938e+00	2.7295243694e-05	1.2291685825e+03	6.8196730597e-12	2.8883982751e-05	2.5164733070e+02	-1.3807665996e+06	8.3876319253e+03	4.5828704578e+03	-4.5041457142e-01	-3.3472120000e-01
2.5613034769e+05	8.4320938000e+09	1.6891319872e+03	3.4691315760e+03	9.9018100048e+00	2.7004112737e-05	1.2285505238e+03	6.7602300350e-12	2.8826161280e-05	2.5164733070e+02	-1.3736443934e+06	8.4095424422e+03	4.5893055332e+03	-4.4718877143e-01	-3.3315438286e-01
2.6403975772e+05	8.7040936000e+09	1.6919726924e+03	3.4760358518e+03	9.9044133063e+00	2.6727539036e-05	1.2279673720e+03	6.7015825905e-12	2.8768899751e-05	2.5164733070e+02	-1.3665251139e+06	8.4313094516e+03	4.5957422420e+03	-4.4359140571e-01	-3.3158756571e-01
