model_id,timestep,time_myr,deflection,sharpness
plume_lnk18_Ha274_D1e06_060ppm,5,5.005,33524.5390625,-21275.875
plume_lnk18_Ha274_D1e06_060ppm,10,10.0005,38902.5546875,-51730.7421875
plume_lnk18_Ha274_D1e06_060ppm,15,15.0171,-1490.59375,-12568.46875
plume_lnk18_Ha274_D1e06_060ppm,20,20.033,742.34375,-13856.046875
plume_lnk18_Ha274_D1e06_060ppm,25,25.0255,155.578125,-13561.828125
plume_lnk18_Ha274_D1e06_060ppm,30,30.0149,212.578125,-13646.359375
plume_lnk18_Ha274_D1e06_060ppm,35,35.0127,223.890625,-13630.140625
plume_lnk18_Ha274_D1e06_060ppm,40,40.0146,246.3125,-13688.828125
plume_lnk18_Ha274_D1e06_060ppm,45,45.0204,275.75,-13713.71875
plume_lnk18_Ha274_D1e06_060ppm,50,50.03,309.921875,-13738.75
plume_lnk18_Ha274_D1e06_060ppm,55,55.0079,0.0,-13415.15625
plume_lnk18_Ha274_D1e06_060ppm,60,60.0248,0.0,-13406.25
plume_lnk18_Ha274_D1e06_060ppm,65,65.0097,425.734375,-13831.984375
plume_lnk18_Ha274_D1e06_060ppm,70,70.0323,463.96875,-13870.21875
plume_lnk18_Ha274_D1e06_060ppm,75,75.0218,500.40625,-13906.65625
plume_lnk18_Ha274_D1e06_060ppm,80,80.013504,534.765625,-13941.015625
plume_lnk18_Ha274_D1e06_060ppm,85,85.0074,566.75,-13973.0
plume_lnk18_Ha274_D1e06_060ppm,90,90.0032,596.21875,-14002.46875
plume_lnk18_Ha274_D1e06_060ppm,95,95.001,623.0625,-14029.3125
plume_lnk18_Ha274_D1e06_060ppm,100,100.0,646.609375,-14052.859375
plume_lnk18_Ha274_D1e08_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e08_060ppm,5,5.005,15405.859375,-8368.2109375
plume_lnk18_Ha274_D1e08_060ppm,10,10.0075,-13119.84375,-5068.40625
plume_lnk18_Ha274_D1e08_060ppm,15,15.0197,-11559.703125,-4646.453125
plume_lnk18_Ha274_D1e08_060ppm,20,20.0154,-11185.625,-4873.953125
plume_lnk18_Ha274_D1e08_060ppm,25,25.0107,-11343.75,-4781.296875
plume_lnk18_Ha274_D1e08_060ppm,30,30.0233,-11343.75,-4777.609375
plume_lnk18_Ha274_D1e08_060ppm,35,35.0093,-11343.75,-4774.84375
plume_lnk18_Ha274_D1e08_060ppm,40,40.0017,-11343.75,-4762.546875
plume_lnk18_Ha274_D1e08_060ppm,45,45.0002,-11343.75,-4743.859375
plume_lnk18_Ha274_D1e08_060ppm,50,50.004,-11343.75,-4718.265625
plume_lnk18_Ha274_D1e08_060ppm,55,55.0124,-11343.75,-4686.734375
plume_lnk18_Ha274_D1e08_060ppm,60,60.0255,-11343.75,-4650.390625
plume_lnk18_Ha274_D1e08_060ppm,65,65.0083,-11343.75,-4610.8125
plume_lnk18_Ha274_D1e08_060ppm,70,70.0292,-11316.640625,-4596.234375
plume_lnk18_Ha274_D1e08_060ppm,75,75.01849,-11277.796875,-4190.953125
plume_lnk18_Ha274_D1e08_060ppm,80,80.010704,-11241.5,-4227.25
plume_lnk18_Ha274_D1e08_060ppm,85,85.0058,-11208.484375,-4260.265625
plume_lnk18_Ha274_D1e08_060ppm,90,90.0034,-11179.234375,-4289.515625
plume_lnk18_Ha274_D1e08_060ppm,95,95.003105,-11153.65625,-4562.34375
plume_lnk18_Ha274_D1e08_060ppm,100,100.0,-11167.28125,-4520.625
plume_lnk18_Ha274_D1e10_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e10_060ppm,5,5.005,8362.921875,-3160.8828125
plume_lnk18_Ha274_D1e10_060ppm,10,10.0236,-16932.46875,-2641.609375
plume_lnk18_Ha274_D1e10_060ppm,15,15.0302,-14635.046875,-2484.109375
plume_lnk18_Ha274_D1e10_060ppm,20,20.0132,-14566.984375,-2543.796875
plume_lnk18_Ha274_D1e10_060ppm,25,25.034,-14585.640625,-2527.859375
plume_lnk18_Ha274_D1e10_060ppm,30,30.0083,-14596.1875,-2510.5625
plume_lnk18_Ha274_D1e10_060ppm,35,35.025,-14606.34375,-1808.1875
plume_lnk18_Ha274_D1e10_060ppm,40,40.0084,-14601.3125,-1810.859375
plume_lnk18_Ha274_D1e10_060ppm,45,45.0321,-14577.75,-2472.140625
plume_lnk18_Ha274_D1e10_060ppm,50,50.0276,-14552.0,-2468.375
plume_lnk18_Ha274_D1e10_060ppm,55,55.0286,-14437.5,-2509.75
plume_lnk18_Ha274_D1e10_060ppm,60,60.0005,-14437.5,-1961.609375
plume_lnk18_Ha274_D1e10_060ppm,65,65.016,-14437.5,-1956.84375
plume_lnk18_Ha274_D1e10_060ppm,70,70.0323,-14437.5,-1953.375
plume_lnk18_Ha274_D1e10_060ppm,75,75.0153,-14437.5,-2062.5
plume_lnk18_Ha274_D1e10_060ppm,80,80.00111,-14437.5,-2062.5
plume_lnk18_Ha274_D1e10_060ppm,85,85.0238,-14487.453125,-2012.546875
plume_lnk18_Ha274_D1e10_060ppm,90,90.01511,-14497.28125,-2002.71875
plume_lnk18_Ha274_D1e10_060ppm,95,95.0072,-14473.609375,-2026.390625
plume_lnk18_Ha274_D1e10_060ppm,100,100.0,-14437.5,-2062.5
plume_lnk18_Ha274_D1e12_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e12_060ppm,5,5.005,6089.8359375,-1529.5625
plume_lnk18_Ha274_D1e12_060ppm,10,10.0186,-17807.78125,-2357.859375
plume_lnk18_Ha274_D1e12_060ppm,15,15.0244,-15745.65625,-2376.640625
plume_lnk18_Ha274_D1e12_060ppm,20,20.0087,-16500.0,-1031.25
plume_lnk18_Ha274_D1e12_060ppm,25,25.0086,-15743.71875,-2378.390625
plume_lnk18_Ha274_D1e12_060ppm,30,30.0259,-16500.0,-1885.6875
plume_lnk18_Ha274_D1e12_060ppm,35,35.0151,-16500.0,-2129.4375
plume_lnk18_Ha274_D1e12_060ppm,40,40.01,-16500.0,-2132.703125
plume_lnk18_Ha274_D1e12_060ppm,45,45.0111,-16500.0,-2137.46875
plume_lnk18_Ha274_D1e12_060ppm,50,50.0253,-16500.0,-2131.0
plume_lnk18_Ha274_D1e12_060ppm,55,55.0145,-15468.75,-1031.25
plume_lnk18_Ha274_D1e12_060ppm,60,60.0069,-16500.0,-2151.921875
plume_lnk18_Ha274_D1e12_060ppm,65,65.0033,-15468.75,-1031.25
plume_lnk18_Ha274_D1e12_060ppm,70,70.0056,-14809.328125,-3819.8125
plume_lnk18_Ha274_D1e12_060ppm,75,75.0114,-14437.5,-2024.03125
plume_lnk18_Ha274_D1e12_060ppm,80,80.0225,-14804.421875,-3811.765625
plume_lnk18_Ha274_D1e12_060ppm,85,85.03249,-14437.5,-2026.125
plume_lnk18_Ha274_D1e12_060ppm,90,90.011,-14437.5,-2026.0
plume_lnk18_Ha274_D1e12_060ppm,95,95.0322,-14813.15625,-3754.171875
plume_lnk18_Ha274_D1e12_060ppm,100,100.0,-15694.5625,-2867.9375
plume_lnk18_Ha274_d1cm_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d1cm_060ppm,5,5.005,34704.984375,-17498.2890625
plume_lnk18_Ha274_d1cm_060ppm,10,10.0099,55982.8046875,-63527.1953125
plume_lnk18_Ha274_d1cm_060ppm,15,15.0071,9281.25,-21163.734375
plume_lnk18_Ha274_d1cm_060ppm,20,20.0097,14027.0,-24110.40625
plume_lnk18_Ha274_d1cm_060ppm,25,25.013,12765.7421875,-23501.1171875
plume_lnk18_Ha274_d1cm_060ppm,30,30.0027,12771.4921875,-23454.0703125
plume_lnk18_Ha274_d1cm_060ppm,35,35.0061,12800.65625,-23494.40625
plume_lnk18_Ha274_d1cm_060ppm,40,40.0123,12777.59375,-23490.546875
plume_lnk18_Ha274_d1cm_060ppm,45,45.0218,12776.3046875,-23501.7265625
plume_lnk18_Ha274_d1cm_060ppm,50,50.0343,12777.3515625,-23515.0703125
plume_lnk18_Ha274_d1cm_060ppm,55,55.0129,12783.046875,-23531.25
plume_lnk18_Ha274_d1cm_060ppm,60,60.0303,12793.2578125,-23550.3203125
plume_lnk18_Ha274_d1cm_060ppm,65,65.0136,12807.2109375,-23571.4296875
plume_lnk18_Ha274_d1cm_060ppm,70,70.0356,12824.4453125,-23594.2734375
plume_lnk18_Ha274_d1cm_060ppm,75,75.0234,12843.9765625,-23617.9765625
plume_lnk18_Ha274_d1cm_060ppm,80,80.0133,12865.28125,-23642.203125
plume_lnk18_Ha274_d1cm_060ppm,85,85.005295,12887.625,-23666.453125
plume_lnk18_Ha274_d1cm_060ppm,90,90.0351,12910.6640625,-23690.5078125
plume_lnk18_Ha274_d1cm_060ppm,95,95.02969,12933.609375,-23713.765625
plume_lnk18_Ha274_d1cm_060ppm,100,100.0,12947.7890625,-23729.4140625
plume_lnk18_Ha274_d1mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d1mm_060ppm,5,5.005,22527.3828125,-13673.1015625
plume_lnk18_Ha274_d1mm_060ppm,10,10.0315,-7193.65625,-9326.03125
plume_lnk18_Ha274_d1mm_060ppm,15,15.0218,-8250.0,-7185.953125
plume_lnk18_Ha274_d1mm_060ppm,20,20.006,-7341.359375,-7714.265625
plume_lnk18_Ha274_d1mm_060ppm,25,25.0248,-7596.453125,-7627.890625
plume_lnk18_Ha274_d1mm_060ppm,30,30.0206,-7582.265625,-7637.53125
plume_lnk18_Ha274_d1mm_060ppm,35,35.0243,-7586.171875,-7642.0
plume_lnk18_Ha274_d1mm_060ppm,40,40.033,-7573.4375,-7653.5625
plume_lnk18_Ha274_d1mm_060ppm,45,45.0122,-7551.796875,-7669.328125
plume_lnk18_Ha274_d1mm_060ppm,50,50.0314,-7521.1875,-7689.171875
plume_lnk18_Ha274_d1mm_060ppm,55,55.0201,-7483.953125,-7711.703125
plume_lnk18_Ha274_d1mm_060ppm,60,60.0124,-7218.75,-7959.5625
plume_lnk18_Ha274_d1mm_060ppm,65,65.0082,-7218.75,-7940.5625
plume_lnk18_Ha274_d1mm_060ppm,70,70.0076,-7218.75,-7921.0
plume_lnk18_Ha274_d1mm_060ppm,75,75.0102,-7218.75,-7901.875
plume_lnk18_Ha274_d1mm_060ppm,80,80.015,-7218.75,-7883.53125
plume_lnk18_Ha274_d1mm_060ppm,85,85.022,-7218.75,-7866.375
plume_lnk18_Ha274_d1mm_060ppm,90,90.031105,-7218.75,-7850.734375
plume_lnk18_Ha274_d1mm_060ppm,95,95.007,-7218.75,-7836.703125
plume_lnk18_Ha274_d1mm_060ppm,100,100.0,-7218.75,-7828.46875
plume_lnk18_Ha274_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d5mm_060ppm,5,5.005,34192.2578125,-20384.171875
plume_lnk18_Ha274_d5mm_060ppm,10,10.0066,44854.5,-56098.796875
plume_lnk18_Ha274_d5mm_060ppm,15,15.0012,1689.3671875,-15117.3828125
plume_lnk18_Ha274_d5mm_060ppm,20,20.0157,4757.5078125,-16922.3671875
plume_lnk18_Ha274_d5mm_060ppm,25,25.0227,3937.171875,-16567.984375
plume_lnk18_Ha274_d5mm_060ppm,30,30.0159,3969.8046875,-16558.7265625
plume_lnk18_Ha274_d5mm_060ppm,35,35.0184,3941.484375,-16541.4375
plume_lnk18_Ha274_d5mm_060ppm,40,40.0249,3915.625,-16521.09375
plume_lnk18_Ha274_d5mm_060ppm,45,45.035,4125.0,-16731.984375
plume_lnk18_Ha274_d5mm_060ppm,50,50.0129,4125.0,-16730.625
plume_lnk18_Ha274_d5mm_060ppm,55,55.0296,4125.0,-16726.03125
plume_lnk18_Ha274_d5mm_060ppm,60,60.0139,4125.0,-16718.53125
plume_lnk18_Ha274_d5mm_060ppm,65,65.0014,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,70,70.027504,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,75,75.02,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,80,80.0144,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,85,85.0106,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,90,90.0086,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,95,95.0082,4125.0,-16500.0
plume_lnk18_Ha274_d5mm_060ppm,100,100.0,4125.0,-16500.0
